CUSTO;IMPOSTO;SKU
83.00;4.00;Teclado Clanm Branco
359.00;4.00;Sata 480GB
239.00;4.00;Sata 240GB
379.00;4.00;Impressora Vinik
8957.00;4.00;Impressora Snapmaker
151.00;4.00;Fritadeira
91.00;4.00;Secador Tiff 2000W
2800.00;4.00;bambu lab
31.00;4.00;PETG 1,75 Branco
2999.00;4.00;Monitor 49
290.00;4.00;50 pacote de Figurinha
1190.00;4.00;Pantum 7105DW
32.90;4.00;4 saco de 50 papel 130g
58.10;4.00;kit com 10 pacote
19.00;4.00;1105 EVOLUT
212.00;4.00;Escova Gama 3D
110.00;4.00;kit 1 667 preto - 1 667 color
120.00;4.00;667 preto e col
2790.00;4.00;Impressora Epson 5890
219.00;4.00;ISD 12
28.00;4.00;fone hp DHE-8009
28.00;4.00;fone DHH-1601
699.00;4.00;PC ONE B300 DUAL CORE I3
2002.00;4.00;PLACA RTX 3060
188.00;4.00;Monitor 19,5
27.00;4.00;kit 3-tn1060 Evolut
9.00;4.00;tn-1060 Evolut
194.00;4.00;Placa GT730
19.00;4.00;tn3472 X
19.00;4.00;1105xx
159.00;4.00;hadset jbl  QUANTUM
35.60;4.00;papel 230G 4 saco com 50
1150.00;4.00;Lava louça
33.90;4.00;ADAPT.UGREEN
33.90;4.00;Adaptador 2em 1
194.00;4.00;Placa GT 730
45.00;4.00;tn 1060 kit com 5
18.00;4.00;tn1060 X
9.00;4.00;TN1060
20.00;4.00;DR3440/820/850
20.00;4.00;W1332
70.00;4.00;toner 1330+ drum 1332
58.00;4.00;hp 667 color 2ml
116.00;4.00;kit hp 667
980.00;0.04;StarLink
19.70;4.00;1105 EVO/X
19.00;4.00;1105 Premiun X
45.00;4.00;kit tn660 5pc DropChina
38.00;4.00;1105 evol
173.00;4.00;papel 180g 20 saco de 50
35.00;4.00;130g 3 pacote de 50
129.90;4.00;tn660 kit com 10
38.00;4.00;filamento 3d 1,75mm Branco
38.00;4.00;filamento 3d 1,75mm BK
36.90;4.00;3d Branco 1.75mm
36.90;4.00;filamento 3d preto
36.90;4.00;FILAMENTO 3D 1.75 PRETO
629.00;4.00;Pantum 2509
59.90;4.00;hp 667 preto
190.00;4.00;1105 Parda
286.00;4.00;720bt preto
189.00;4.00;JBL 520BT BRANCO
1100.00;4.00;Impressora L3250
89.00;4.00;180G kit com 500
8.90;4.00;180gr pacote 50
189.00;4.00;JBL 520BT
202.00;4.00;JBL 520BT Preto
19.00;4.00;1105 Drop
57.00;4.00;1105 kit 3
19.00;4.00;3510
38.00;4.00;1105 5000pg
19.00;4.00;1105 Premiun
22.50;4.00;creatina
19.00;4.00;1105 X
45.00;4.00;tn660 DropChina
13.90;4.00;130gr PCT 50
9.00;4.00;tn660 EVOL
9.00;4.00;660 X
22.70;4.00;230gr M
19.00;4.00;d111 EVOLUT
78.00;4.00;TECLADO SNOW WALKER V2
9.00;4.00;tn600 M
6.00;4.00;afiador 3
6.00;4.00;afiador 2
6.00;4.00;afiador
19.00;4.00;d101s
68.00;4.00;kit gamer eg-54
68.00;4.00;kit gamer EVO
17.50;4.00;kit 100 folhas 180gr
26.00;4.00;130gr 100 folhas dois pacote de 50
22.04;4.00;papel 230g 100 folha
22.04;4.00;papel 280g 100 folha
189.00;4.00;ISD Full
101.00;4.00;Teclado Walker v2
33.92;4.00;Teclado Shadow valley clanm
11.25;4.00;papel foto 230g 50 folhas
189.00;0.00;ISD12
10.70;0.00;230gr
21.00;0.00;230gr 2
5.50;0.00;amolador
10.00;0.00;kit com 2
13.00;0.00;Suport de Not
13.80;0.00;Suporte de Notebook
28.90;0.00;vaco 2
19.00;4.00;d111S
19.00;4.00;d111
12.50;0.00;balança 10.kg
12.50;0.00;balanca 10k
14.50;0.00;balança 10kg
8.50;0.00;hand 2 60kg
108.00;0.00;tv 4k
8.50;0.00;hend 60kg
14.50;0.00;balança
28.90;0.00;vaco
99.50;4.00;hp 1105
16.00;0.00;hp 435/36 univ EVL
16.00;0.00;toner 285 EVO
16.00;0.00;Toner P1102w universal 435/36/85 EVO
45.00;4.00;kit tn660 5pc
6.80;0.00;CABO.HDMI.VGA
