SKU;ID_Bling (col A);ID_na_Loja/Shopify (col B);Preco (col E);Loja (col J)
3510;16659519909;9380921508059;48.20;Dropchina oficial
tn660 DropChina;16659519372;9380921671899;100.00;Dropchina oficial
kit tn660 5pc DropChina;16659519589;9380921868507;100.00;Dropchina oficial
hp 1105;16659519595;9380922065115;185.90;Dropchina oficial
Teclado Walker v2;16659519753;9380922228955;149.00;Dropchina oficial
papel foto 230g 50 folhas;16659519732;9380922458331;21.48;Dropchina oficial
Teclado Shadow valley clanm;16659519722;9380922687707;42.70;Dropchina oficial
ISD12;16659522383;9380922917083;326.00;Dropchina oficial
papel 230g 100 folha;16659519852;9380923146459;36.00;Dropchina oficial
d111S;16659519721;9380923310299;37.96;Dropchina oficial
ISD Full;16659519838;9380923539675;389.00;Dropchina oficial
660 X;16659519950;9380923703515;21.00;Dropchina oficial
kit 100 folhas 180gr;16659519901;9380923900123;30.90;Dropchina oficial
papel foto 230g 100 folhas;16659520014;9380924162267;37.50;Dropchina oficial
230gr M;16659519967;9380924358875;37.50;Dropchina oficial
130gr 100 folhas dois pacote de 50;16659519896;9380924588251;40.90;Dropchina oficial
1105 kit 3;16659519981;9380924784859;112.00;Dropchina oficial
1105 evol;16659519891;9380925047003;58.61;Dropchina oficial
1105 Drop;16659519975;9380925341915;36.00;Dropchina oficial
tn600 M;16659519934;9380925571291;22.00;Dropchina oficial
180gr pacote 50;16659520030;9380925898971;19.00;Dropchina oficial
TECLADO SNOW WALKER V2;16659520018;9380926161115;139.00;Dropchina oficial
1105 X;16659520037;9380926456027;33.90;Dropchina oficial
130gr PCT 50;16659520087;9380926750939;18.89;Dropchina oficial
180G kit com 500;16659520023;9380927111387;130.00;Dropchina oficial
JBL 520BT Preto;16659520042;9380927373531;248.00;Dropchina oficial
1105 5000pg;16659520116;9380927570139;56.80;Dropchina oficial
tn660 EVOL;16659520059;9380927865051;27.78;Dropchina oficial
JBL 520BT BRANCO;16659520061;9380928127195;248.00;Dropchina oficial
1105 Premiun;16659520040;9380928454875;34.90;Dropchina oficial
tn660 kit com 10;16659520147;9380928749787;235.00;Dropchina oficial
StarLink;16659520224;9380929011931;980.00;Dropchina oficial
130g 3 pacote de 50;16659520129;9380929241307;60.00;Dropchina oficial
papel 180g 20 saco de 50;16659520229;9380929503451;240.00;Dropchina oficial
1105 Premiun X;16659520157;9380929700059;35.90;Dropchina oficial
hp 667 preto;16659520209;9380929896667;88.00;Dropchina oficial
520 bt Preto;16659520232;9380930093275;248.90;Dropchina oficial
1105 Parda;16659520187;9380930289883;323.00;Dropchina oficial
1105 EVO/X;16659520131;9380930519259;36.00;Dropchina oficial
Adaptador 2em 1;16659520302;9380930715867;57.90;Dropchina oficial
Lava louça;16659520247;9380930978011;1899.00;Dropchina oficial
hadset jbl  QUANTUM;16659520243;9380931141851;208.00;Dropchina oficial
papel 230G 4 saco com 50;16659520251;9380931338459;58.40;Dropchina oficial
kit hp 667;16659520264;9380931535067;180.90;Dropchina oficial
kit 3-tn1060 Evolut;16659520294;9380931764443;48.50;Dropchina oficial
tn 1060 kit com 5;16659520375;9380931961051;81.90;Dropchina oficial
toner 1330+ drum 1332;16659520307;9380932223195;140.00;Dropchina oficial
1105xx;16659520330;9380932452571;36.50;Dropchina oficial
tn3472 X;16659520297;9380932681947;56.50;Dropchina oficial
tn1060 X;16659520276;9380932878555;45.00;Dropchina oficial
Placa GT 730;16659520281;9380933042395;288.00;Dropchina oficial
tn-1060 Evolut;16659520270;9380933206235;21.50;Dropchina oficial
kit 1 667 preto - 1 667 color;16659520502;9380933402843;198.00;Dropchina oficial
PC ONE B300 DUAL CORE I3;16659520413;9380933566683;905.00;Dropchina oficial
4 saco de 50 papel 130g;16659520391;9380933763291;75.00;Dropchina oficial
ISD 12;16659520442;9380933959899;289.00;Dropchina oficial
667 preto e col;16659520418;9380934189275;182.90;Dropchina oficial
Impressora Epson 5890;16659520462;9380934385883;3876.00;Dropchina oficial
Placa GT730;16659520449;9380934648027;412.00;Dropchina oficial
1105 EVOLUT;16659520427;9380934844635;40.40;Dropchina oficial
fone hp DHE-8009;16659520399;9380935041243;50.90;Dropchina oficial
A1 mini;16666672161;9380935237851;5280.00;Dropchina oficial
Impressora Snapmaker;16666672210;9422009565403;14889.00;Dropchina oficial
